antecedents,consequents,confidence
"frozenset({'Q20C', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q20C'}),"frozenset({'ALTA', 'Q18A'})",0.833467525496511
"frozenset({'Q18A', 'Q21A'})",frozenset({'ALTA'}),1.0
frozenset({'Q21A'}),"frozenset({'ALTA', 'Q18A'})",0.8074202059352308
"frozenset({'Q21B', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22B', 'Q18A'})",frozenset({'ALTA'}),1.0
frozenset({'Q22B'}),"frozenset({'ALTA', 'Q18A'})",0.8053011003306413
"frozenset({'Q22C', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23B', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q23C'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q24A'})",frozenset({'ALTA'}),1.0
frozenset({'Q24A'}),"frozenset({'ALTA', 'Q18A'})",0.8451063829787234
"frozenset({'Q18A', 'Q24E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q25E'})",frozenset({'ALTA'}),1.0
frozenset({'Q25E'}),"frozenset({'ALTA', 'Q18A'})",0.8120373226403454
"frozenset({'Q18A', 'Q26F'})",frozenset({'ALTA'}),1.0
frozenset({'Q26F'}),"frozenset({'ALTA', 'Q18A'})",0.8152800413403825
"frozenset({'Q20C', 'Q19B'})",frozenset({'ALTA'}),1.0
frozenset({'Q20C'}),"frozenset({'ALTA', 'Q19B'})",0.8516729289676149
"frozenset({'Q21A', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22B', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22C', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23C', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q19B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q19B', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q19B', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20A', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q24E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22B', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q22C', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23B', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q23C', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q21A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q25E'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q25E', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q03A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q06B'})","frozenset({'ALTA', 'Q03A'})",0.9962182331585316
"frozenset({'Q02A', 'Q09C', 'Q03A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q09C', 'Q02A'})","frozenset({'ALTA', 'Q03A'})",0.9955596514745307
"frozenset({'Q02A', 'Q10A', 'Q03A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q02A'})","frozenset({'ALTA', 'Q03A'})",0.9960567321757935
"frozenset({'Q02A', 'Q11A', 'Q03A'})",frozenset({'ALTA'}),1.0
